MessageID,Sender,TimeSubmitted,MessageText,URL,Subdomain,SLD,TLD,RedirectedURL,Brand,DomainRegistrar,DomainCreationDate,DomainLastUpdateAtSubmission,DomainLastUpdate,DomainStatus,DomainActiveFor,Detected,Malicious,Malware,Phishing,Suspicious,ImageText
1,,31/03/2022 23:54,"long time no see, how are you doing?",,,,,,,,,,,,,,,,,,"Text Message
Wed, Feb 9, 07:53

Long time no see, how are you
doing?
"
2,,31/03/2022 23:57,get outlook on your phone for free https://aka.ms/aab3evh,https://aka.ms/AAb3evh,,aka,ms,https://4495.adj.st/login/qrcode/?adj_t=uyb038a_11ni7an&adjust_deeplink=ms-outlook://login/qrcode,Outlook,ST Registry,06/06/2016,11/05/2023,07/05/2024,Active,2976,0,0,0,0,0,"Text Message
Fri, Aug 20, 17:47

Get Outlook on your phone for
"
3,42003,31/03/2022 23:59,"costco: daniel, the code 42003 printed on your receipt from 10 came in 2nd in our airpods draw: f2gpy.info/rznkews zve",f2gpy.info/RzNKEwsZve,,f2gpy,info,http://f2gpy.info/RzNKEwsZve,Costco,,,,,Inactive,,0,0,0,0,0,"Text Message
Thu, Jul 29, 19:10

Costco: Daniel, the code
42003 printed on your receipt
from 10 came in 2nd in our
Airpods draw: f2gpy.info/
RZNKEwsZve
"
4,,01/04/2022 16:40,"<b> @ & *%
/>",,,,,,,,,,,,,,,,,,
5,+1 (872) 279-0672,02/04/2022 05:00,"hi, you still owe ups $4.10 usd in customs fees for your previous package. reply 1 to receive a secure link to pay your invoice.",,,,,,UPS,,,,,,,,,,,,"+1 (872) 279-0672

Text Message
Wed, Feb 2, 10:42 PM

Hi, you still owe UPS $4.10
USD in customs fees for your
previous package. Reply 1 to
receive a secure link to pay
your invoice.
"
6,+1 (806) 224-7886,02/04/2022 05:03,"wel01.us/r/rest05 wells fargo(cs):profile locked because of unusual activities, kindly restore.reply stop to unsubscribe",wel01.us/r/rest05,,wel01,us,http://wel01.us/r/rest05,WELLS FARGO,,,,,Inactive,,0,0,0,0,0,"e

+1 (806) 224-7886

Text Message
Thu, Sep 2, 4:39 PM

wel01.us/r/rest05

WELLS FARGO(CS):Profile
locked because of unusual
activities , kindly restore.Reply
STOP to unsubscribe
"
7,,03/04/2022 01:43,"hi, are you who played golf together last time? i'm lisa",,,,,,,,,,,,,,,,,,"Text Message
Today 2:30 PM

Hi, are yo ho played golf

together last time? I’m Lisa

"
8,+1 (775) 537-4497,03/04/2022 01:47,"(8 hi julianne long time no see, i'm aleen, how are you doing",,,,,,,,,,,,,,,,,,
9,,03/04/2022 02:14,"hi dr. chelsea, my cat is sick again. the situation is very bad. do you have time now? after receiving the message, please reply promptly. thank you.",,,,,,,,,,,,,,,,,,"<3 +959676503050 CK &

Wed, Jan 26

@ Messages and calls are end-to-end
encrypted. No one outside of this chat, not
even WhatsApp, can read or listen to them.

Tap to learn more.

This chat is with a business account. Tap to
learn more.

Hi Dr. Chelsea, my cat is sick
again. The situation is very bad. Do
you have time now? After receiving
the message, please reply
promptly. Thank you. 6:32 PM

You blocked this contact. Tap to unblock.
Thu, Jan 27

This business account has now registered
as a standard account. Tap to learn more.
"
10,+1 (276) 318-3831,03/04/2022 02:15,"hi jessie, it's been a long time since i came out, what are you doing recently?",,,,,,,,,,,,,,,,,,"<3 +1(276) 318-3831 CK &

Oct 2, 2021

@ Messages and calls are end-to-end
encrypted. No one outside of this chat, not
even WhatsApp, can read or listen to them.

Tap to learn more.

hi Jessie, it's been a long time
since | came out, what are you
doing recently? 11:12 AM

You blocked this contact. Tap to unblock.
"
